,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
28,0<=X<200,7.0,existing paid,radio/tv,2415.0,<100,1<=X<4,3.0,male single,guarantor,2.0,real estate,34.0,stores,own,1.0,skilled,1.0,none,yes,good
29,<0,60.0,delayed previously,business,6836.0,<100,>=7,3.0,male single,none,4.0,no known property,63.0,stores,own,2.0,skilled,1.0,yes,yes,bad
30,0<=X<200,18.0,existing paid,business,1913.0,>=1000,<1,3.0,male mar/wid,none,3.0,real estate,36.0,bank,own,1.0,skilled,1.0,yes,yes,good
31,<0,24.0,existing paid,furniture/equipment,4020.0,<100,1<=X<4,2.0,male single,none,2.0,car,27.0,,own,1.0,skilled,1.0,none,yes,good
32,0<=X<200,18.0,existing paid,new car,5866.0,100<=X<500,1<=X<4,2.0,male single,none,2.0,car,30.0,stores,own,2.0,skilled,1.0,yes,yes,good
33,no checking,12.0,critical/order existing credit,business,1264.0,no known savings,>=7,4.0,male single,none,4.0,no known property,57.0,stores,rent,1.0,unskilled resident,1.0,none,yes,good
34,>=200,12.0,existing paid,furniture/equipment,1474.0,<100,<1,4.0,female div/dep/mar,none,1.0,life insurance,33.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
35,0<=X<200,45.0,critical/order existing credit,radio/tv,4746.0,<100,<1,4.0,male single,none,2.0,life insurance,25.0,stores,own,2.0,unskilled resident,1.0,none,yes,bad
36,no checking,48.0,critical/order existing credit,education,6110.0,<100,1<=X<4,1.0,male single,none,3.0,no known property,31.0,bank,for free,1.0,skilled,1.0,yes,yes,good
37,>=200,18.0,existing paid,radio/tv,2100.0,<100,1<=X<4,4.0,male single,co applicant,2.0,real estate,37.0,,own,1.0,skilled,1.0,none,yes,bad
38,>=200,10.0,existing paid,domestic appliance,1225.0,<100,1<=X<4,2.0,male single,none,2.0,car,37.0,stores,own,1.0,skilled,1.0,yes,yes,good
39,0<=X<200,9.0,existing paid,radio/tv,458.0,<100,1<=X<4,4.0,male single,none,3.0,real estate,24.0,stores,own,1.0,skilled,1.0,none,yes,good
40,no checking,30.0,existing paid,radio/tv,2333.0,500<=X<10000,>=7,4.0,male single,none,2.0,car,30.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
41,0<=X<200,12.0,existing paid,radio/tv,1158.0,500<=X<10000,1<=X<4,3.0,male div/sep,none,1.0,car,26.0,stores,own,1.0,skilled,1.0,yes,yes,good
42,0<=X<200,18.0,delayed previously,repairs,6204.0,<100,1<=X<4,2.0,male single,none,4.0,real estate,44.0,stores,own,1.0,unskilled resident,2.0,yes,yes,good
43,<0,30.0,critical/order existing credit,used car,6187.0,100<=X<500,4<=X<7,1.0,male mar/wid,none,4.0,car,24.0,stores,rent,2.0,skilled,1.0,none,yes,good
44,<0,48.0,critical/order existing credit,used car,6143.0,<100,>=7,4.0,female div/dep/mar,none,4.0,no known property,58.0,,for free,2.0,unskilled resident,1.0,none,yes,bad
45,no checking,11.0,critical/order existing credit,new car,1393.0,<100,<1,4.0,female div/dep/mar,none,4.0,car,35.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
46,no checking,36.0,existing paid,radio/tv,2299.0,500<=X<10000,>=7,4.0,male single,none,4.0,car,39.0,stores,own,1.0,skilled,1.0,none,yes,good
47,<0,6.0,existing paid,used car,1352.0,500<=X<10000,unemployed,1.0,female div/dep/mar,none,2.0,life insurance,23.0,stores,rent,1.0,unemp/unskilled non res,1.0,yes,yes,good
48,no checking,11.0,critical/order existing credit,new car,7228.0,<100,1<=X<4,1.0,male single,none,4.0,life insurance,39.0,stores,own,2.0,unskilled resident,1.0,none,yes,good
49,no checking,12.0,existing paid,radio/tv,2073.0,100<=X<500,1<=X<4,4.0,female div/dep/mar,co applicant,2.0,real estate,28.0,stores,own,1.0,skilled,1.0,none,yes,good
50,0<=X<200,24.0,delayed previously,furniture/equipment,2333.0,no known savings,<1,4.0,male single,none,2.0,life insurance,29.0,bank,own,1.0,unskilled resident,1.0,none,yes,good
51,0<=X<200,27.0,delayed previously,used car,5965.0,<100,>=7,1.0,male single,none,2.0,car,30.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
52,no checking,12.0,existing paid,radio/tv,1262.0,<100,1<=X<4,3.0,male single,none,2.0,car,25.0,stores,own,1.0,skilled,1.0,none,yes,good
53,no checking,18.0,existing paid,used car,3378.0,no known savings,1<=X<4,2.0,male single,none,1.0,life insurance,31.0,stores,own,1.0,skilled,1.0,yes,yes,good
54,0<=X<200,36.0,delayed previously,new car,2225.0,<100,>=7,4.0,male single,none,4.0,no known property,57.0,bank,for free,2.0,skilled,1.0,yes,yes,bad
55,no checking,6.0,all paid,new car,783.0,no known savings,1<=X<4,1.0,male single,guarantor,2.0,real estate,26.0,,own,1.0,unskilled resident,2.0,none,yes,good
56,0<=X<200,12.0,existing paid,radio/tv,6468.0,no known savings,unemployed,2.0,male single,none,1.0,no known property,52.0,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
57,no checking,36.0,critical/order existing credit,radio/tv,9566.0,<100,1<=X<4,2.0,female div/dep/mar,none,2.0,car,31.0,,own,2.0,skilled,1.0,none,yes,good
58,>=200,18.0,existing paid,new car,1961.0,<100,>=7,3.0,female div/dep/mar,none,2.0,car,23.0,stores,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
59,<0,36.0,critical/order existing credit,furniture/equipment,6229.0,<100,<1,4.0,female div/dep/mar,co applicant,4.0,no known property,23.0,stores,rent,2.0,unskilled resident,1.0,yes,yes,bad
60,0<=X<200,9.0,existing paid,business,1391.0,<100,1<=X<4,2.0,male mar/wid,none,1.0,real estate,27.0,bank,own,1.0,skilled,1.0,yes,yes,good
61,0<=X<200,15.0,critical/order existing credit,radio/tv,1537.0,no known savings,>=7,4.0,male single,guarantor,4.0,real estate,50.0,stores,own,2.0,skilled,1.0,yes,yes,good
62,0<=X<200,36.0,no credits/all paid,business,1953.0,<100,>=7,4.0,male single,none,4.0,no known property,61.0,stores,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
63,0<=X<200,48.0,no credits/all paid,business,14421.0,<100,1<=X<4,2.0,male single,none,2.0,car,25.0,stores,own,1.0,skilled,1.0,yes,yes,bad
64,no checking,24.0,existing paid,radio/tv,3181.0,<100,<1,4.0,female div/dep/mar,none,4.0,life insurance,26.0,stores,own,1.0,skilled,1.0,yes,yes,good
65,no checking,27.0,existing paid,repairs,5190.0,no known savings,>=7,4.0,male single,none,4.0,life insurance,48.0,stores,own,4.0,skilled,2.0,yes,yes,good
66,no checking,12.0,existing paid,radio/tv,2171.0,<100,<1,2.0,female div/dep/mar,none,2.0,car,29.0,bank,own,1.0,skilled,1.0,none,yes,good
67,0<=X<200,12.0,existing paid,new car,1007.0,>=1000,1<=X<4,4.0,male mar/wid,none,1.0,real estate,22.0,stores,own,1.0,skilled,1.0,none,yes,good
68,no checking,36.0,existing paid,education,1819.0,<100,1<=X<4,4.0,male single,none,4.0,no known property,37.0,,for free,1.0,skilled,1.0,yes,yes,bad
69,no checking,36.0,existing paid,radio/tv,2394.0,no known savings,1<=X<4,4.0,female div/dep/mar,none,4.0,car,25.0,stores,own,1.0,skilled,1.0,none,yes,good
70,no checking,36.0,existing paid,used car,8133.0,<100,1<=X<4,1.0,female div/dep/mar,none,2.0,life insurance,30.0,bank,own,1.0,skilled,1.0,none,yes,good
71,no checking,7.0,critical/order existing credit,radio/tv,730.0,no known savings,>=7,4.0,male single,none,2.0,life insurance,46.0,stores,rent,2.0,unskilled resident,1.0,yes,yes,good
72,<0,8.0,critical/order existing credit,other,1164.0,<100,>=7,3.0,male single,none,4.0,no known property,51.0,bank,for free,2.0,high qualif/self emp/mgmt,2.0,yes,yes,good
73,0<=X<200,42.0,critical/order existing credit,business,5954.0,<100,4<=X<7,2.0,female div/dep/mar,none,1.0,real estate,41.0,bank,own,2.0,unskilled resident,1.0,none,yes,good
74,<0,36.0,existing paid,education,1977.0,no known savings,>=7,4.0,male single,none,4.0,no known property,40.0,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
75,<0,12.0,critical/order existing credit,used car,1526.0,<100,>=7,4.0,male single,none,4.0,no known property,66.0,stores,for free,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
76,<0,42.0,existing paid,radio/tv,3965.0,<100,<1,4.0,male single,none,3.0,car,34.0,stores,own,1.0,skilled,1.0,none,yes,bad
77,0<=X<200,11.0,delayed previously,radio/tv,4771.0,<100,4<=X<7,2.0,male single,none,4.0,life insurance,51.0,stores,own,1.0,skilled,1.0,none,yes,good
78,no checking,54.0,no credits/all paid,used car,9436.0,no known savings,1<=X<4,2.0,male single,none,2.0,life insurance,39.0,stores,own,1.0,unskilled resident,2.0,none,yes,good
79,0<=X<200,30.0,existing paid,furniture/equipment,3832.0,<100,<1,2.0,male mar/wid,none,1.0,life insurance,22.0,stores,own,1.0,skilled,1.0,none,yes,good
80,no checking,24.0,existing paid,radio/tv,5943.0,no known savings,<1,1.0,female div/dep/mar,none,1.0,car,44.0,stores,own,2.0,skilled,1.0,yes,yes,bad
81,no checking,15.0,existing paid,radio/tv,1213.0,500<=X<10000,>=7,4.0,male single,none,3.0,life insurance,47.0,,own,1.0,skilled,1.0,yes,yes,good
82,no checking,18.0,existing paid,business,1568.0,100<=X<500,1<=X<4,3.0,female div/dep/mar,none,4.0,life insurance,24.0,stores,rent,1.0,unskilled resident,1.0,none,yes,good
83,<0,24.0,existing paid,other,1755.0,<100,>=7,4.0,female div/dep/mar,guarantor,4.0,real estate,58.0,stores,own,1.0,unskilled resident,1.0,yes,yes,good
84,<0,10.0,existing paid,radio/tv,2315.0,<100,>=7,3.0,male single,none,4.0,real estate,52.0,stores,own,1.0,unskilled resident,1.0,none,yes,good
85,no checking,12.0,critical/order existing credit,business,1412.0,<100,1<=X<4,4.0,female div/dep/mar,guarantor,2.0,real estate,29.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
86,0<=X<200,18.0,critical/order existing credit,furniture/equipment,1295.0,<100,<1,4.0,female div/dep/mar,none,1.0,life insurance,27.0,stores,own,2.0,skilled,1.0,none,yes,good
87,0<=X<200,36.0,existing paid,education,12612.0,100<=X<500,1<=X<4,1.0,male single,none,4.0,no known property,47.0,stores,for free,1.0,skilled,2.0,yes,yes,bad
88,<0,18.0,existing paid,new car,2249.0,100<=X<500,4<=X<7,4.0,male single,none,3.0,car,30.0,stores,own,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
89,<0,12.0,no credits/all paid,repairs,1108.0,<100,4<=X<7,4.0,male single,none,3.0,real estate,28.0,stores,own,2.0,skilled,1.0,none,yes,bad
90,no checking,12.0,critical/order existing credit,radio/tv,618.0,<100,>=7,4.0,male single,none,4.0,real estate,56.0,stores,own,1.0,skilled,1.0,none,yes,good
91,<0,12.0,critical/order existing credit,used car,1409.0,<100,>=7,4.0,male single,none,3.0,real estate,54.0,stores,own,1.0,skilled,1.0,none,yes,good
92,no checking,12.0,critical/order existing credit,radio/tv,797.0,no known savings,>=7,4.0,female div/dep/mar,none,3.0,life insurance,33.0,bank,own,1.0,unskilled resident,2.0,none,yes,bad
93,>=200,24.0,critical/order existing credit,furniture/equipment,3617.0,no known savings,>=7,4.0,male single,co applicant,4.0,no known property,20.0,stores,rent,2.0,skilled,1.0,none,yes,good
94,0<=X<200,12.0,existing paid,new car,1318.0,>=1000,>=7,4.0,male single,none,4.0,real estate,54.0,stores,own,1.0,skilled,1.0,yes,yes,good
95,0<=X<200,54.0,no credits/all paid,business,15945.0,<100,<1,3.0,male single,none,4.0,no known property,58.0,stores,rent,1.0,skilled,1.0,yes,yes,bad
96,no checking,12.0,critical/order existing credit,education,2012.0,no known savings,4<=X<7,4.0,female div/dep/mar,none,2.0,car,61.0,stores,own,1.0,skilled,1.0,none,yes,good
97,0<=X<200,18.0,existing paid,business,2622.0,100<=X<500,1<=X<4,4.0,male single,none,4.0,car,34.0,stores,own,1.0,skilled,1.0,none,yes,good
98,0<=X<200,36.0,critical/order existing credit,radio/tv,2337.0,<100,>=7,4.0,male single,none,4.0,real estate,36.0,stores,own,1.0,skilled,1.0,none,yes,good
99,0<=X<200,20.0,delayed previously,used car,7057.0,no known savings,4<=X<7,3.0,male single,none,4.0,life insurance,36.0,bank,rent,2.0,high qualif/self emp/mgmt,2.0,yes,yes,good
100,no checking,24.0,existing paid,new car,1469.0,100<=X<500,>=7,4.0,male mar/wid,none,4.0,real estate,41.0,stores,rent,1.0,unskilled resident,1.0,none,yes,good
101,0<=X<200,36.0,existing paid,radio/tv,2323.0,<100,4<=X<7,4.0,male single,none,4.0,car,24.0,stores,rent,1.0,skilled,1.0,none,yes,good
102,no checking,6.0,delayed previously,radio/tv,932.0,<100,1<=X<4,3.0,female div/dep/mar,none,2.0,real estate,24.0,stores,own,1.0,skilled,1.0,none,yes,good
103,0<=X<200,9.0,critical/order existing credit,furniture/equipment,1919.0,<100,4<=X<7,4.0,male single,none,3.0,car,35.0,stores,rent,1.0,skilled,1.0,yes,yes,good
104,no checking,12.0,existing paid,used car,2445.0,no known savings,<1,2.0,male mar/wid,none,4.0,car,26.0,stores,rent,1.0,skilled,1.0,yes,yes,good
105,0<=X<200,24.0,critical/order existing credit,other,11938.0,<100,1<=X<4,2.0,male single,co applicant,3.0,car,39.0,stores,own,2.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
106,no checking,18.0,all paid,new car,6458.0,<100,>=7,2.0,male single,none,4.0,no known property,39.0,bank,own,2.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
107,0<=X<200,12.0,existing paid,new car,6078.0,<100,4<=X<7,2.0,male single,none,2.0,car,32.0,stores,own,1.0,skilled,1.0,none,yes,good
108,<0,24.0,existing paid,furniture/equipment,7721.0,no known savings,<1,1.0,female div/dep/mar,none,2.0,life insurance,30.0,stores,own,1.0,skilled,1.0,yes,no,good
109,0<=X<200,14.0,existing paid,business,1410.0,500<=X<10000,>=7,1.0,male mar/wid,none,2.0,real estate,35.0,stores,own,1.0,skilled,1.0,yes,yes,good
110,0<=X<200,6.0,delayed previously,business,1449.0,100<=X<500,>=7,1.0,male div/sep,none,2.0,car,31.0,bank,own,2.0,skilled,2.0,none,yes,good
111,>=200,15.0,existing paid,education,392.0,<100,<1,4.0,female div/dep/mar,none,4.0,life insurance,23.0,stores,rent,1.0,skilled,1.0,yes,yes,good
112,0<=X<200,18.0,existing paid,new car,6260.0,<100,4<=X<7,3.0,male single,none,3.0,real estate,28.0,stores,rent,1.0,unskilled resident,1.0,none,yes,good
113,no checking,36.0,critical/order existing credit,new car,7855.0,<100,1<=X<4,4.0,female div/dep/mar,none,2.0,real estate,25.0,,own,2.0,skilled,1.0,yes,yes,bad
114,<0,12.0,existing paid,radio/tv,1680.0,500<=X<10000,>=7,3.0,male mar/wid,none,1.0,real estate,35.0,stores,own,1.0,skilled,1.0,none,yes,good
115,no checking,48.0,critical/order existing credit,radio/tv,3578.0,no known savings,>=7,4.0,male single,none,1.0,real estate,47.0,stores,own,1.0,skilled,1.0,yes,yes,good
116,<0,42.0,existing paid,radio/tv,7174.0,no known savings,4<=X<7,4.0,female div/dep/mar,none,3.0,car,30.0,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
117,<0,10.0,critical/order existing credit,furniture/equipment,2132.0,no known savings,<1,2.0,female div/dep/mar,co applicant,3.0,real estate,27.0,stores,rent,2.0,skilled,1.0,none,no,good
118,<0,33.0,critical/order existing credit,furniture/equipment,4281.0,500<=X<10000,1<=X<4,1.0,female div/dep/mar,none,4.0,car,23.0,stores,own,2.0,skilled,1.0,none,yes,bad
119,0<=X<200,12.0,critical/order existing credit,new car,2366.0,500<=X<10000,4<=X<7,3.0,male div/sep,none,3.0,car,36.0,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
120,<0,21.0,existing paid,radio/tv,1835.0,<100,1<=X<4,3.0,female div/dep/mar,none,2.0,real estate,25.0,stores,own,2.0,skilled,1.0,yes,yes,bad
121,no checking,24.0,critical/order existing credit,used car,3868.0,<100,>=7,4.0,female div/dep/mar,none,2.0,car,41.0,stores,rent,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
122,no checking,12.0,existing paid,furniture/equipment,1768.0,<100,1<=X<4,3.0,male single,none,2.0,real estate,24.0,stores,rent,1.0,unskilled resident,1.0,none,yes,good
123,>=200,10.0,critical/order existing credit,new car,781.0,<100,>=7,4.0,male single,none,4.0,no known property,63.0,stores,for free,2.0,skilled,1.0,yes,yes,good
124,0<=X<200,18.0,existing paid,furniture/equipment,1924.0,no known savings,<1,4.0,female div/dep/mar,none,3.0,real estate,27.0,stores,rent,1.0,skilled,1.0,none,yes,bad
125,<0,12.0,critical/order existing credit,new car,2121.0,<100,1<=X<4,4.0,male single,none,2.0,life insurance,30.0,stores,own,2.0,skilled,1.0,none,yes,good
126,<0,12.0,existing paid,radio/tv,701.0,<100,1<=X<4,4.0,male mar/wid,none,2.0,real estate,40.0,stores,own,1.0,unskilled resident,1.0,none,yes,good
127,0<=X<200,12.0,existing paid,repairs,639.0,<100,1<=X<4,4.0,male single,none,2.0,car,30.0,stores,own,1.0,skilled,1.0,none,yes,bad
128,0<=X<200,12.0,critical/order existing credit,used car,1860.0,<100,unemployed,4.0,male single,none,2.0,car,34.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
129,<0,12.0,critical/order existing credit,new car,3499.0,<100,1<=X<4,3.0,female div/dep/mar,co applicant,2.0,real estate,29.0,stores,own,2.0,skilled,1.0,none,yes,bad
130,0<=X<200,48.0,existing paid,new car,8487.0,no known savings,4<=X<7,1.0,female div/dep/mar,none,2.0,car,24.0,stores,own,1.0,skilled,1.0,none,yes,good
131,<0,36.0,delayed previously,education,6887.0,<100,1<=X<4,4.0,male single,none,3.0,life insurance,29.0,,own,1.0,skilled,1.0,yes,yes,bad
132,no checking,15.0,existing paid,furniture/equipment,2708.0,<100,<1,2.0,male single,none,3.0,life insurance,27.0,bank,own,2.0,unskilled resident,1.0,none,yes,good
133,no checking,18.0,existing paid,furniture/equipment,1984.0,<100,1<=X<4,4.0,male single,none,4.0,no known property,47.0,bank,for free,2.0,skilled,1.0,none,yes,good
134,no checking,60.0,existing paid,radio/tv,10144.0,100<=X<500,4<=X<7,2.0,female div/dep/mar,none,4.0,real estate,21.0,stores,own,1.0,skilled,1.0,yes,yes,good
135,no checking,12.0,critical/order existing credit,radio/tv,1240.0,no known savings,>=7,4.0,female div/dep/mar,none,2.0,real estate,38.0,stores,own,2.0,skilled,1.0,yes,yes,good
136,no checking,27.0,delayed previously,used car,8613.0,>=1000,1<=X<4,2.0,male single,none,2.0,car,27.0,stores,own,2.0,skilled,1.0,none,yes,good
137,0<=X<200,12.0,existing paid,radio/tv,766.0,500<=X<10000,1<=X<4,4.0,male single,none,3.0,real estate,66.0,stores,own,1.0,unskilled resident,1.0,none,yes,bad
138,0<=X<200,15.0,critical/order existing credit,radio/tv,2728.0,no known savings,4<=X<7,4.0,male single,guarantor,2.0,real estate,35.0,bank,own,3.0,skilled,1.0,yes,yes,good
139,>=200,12.0,existing paid,radio/tv,1881.0,<100,1<=X<4,2.0,female div/dep/mar,none,2.0,car,44.0,stores,rent,1.0,unskilled resident,1.0,yes,yes,good
140,>=200,6.0,existing paid,new car,709.0,>=1000,<1,2.0,male mar/wid,none,2.0,real estate,27.0,stores,own,1.0,unemp/unskilled non res,1.0,none,no,good
141,0<=X<200,36.0,existing paid,radio/tv,4795.0,<100,<1,4.0,female div/dep/mar,none,1.0,no known property,30.0,stores,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
142,<0,27.0,existing paid,radio/tv,3416.0,<100,1<=X<4,3.0,male single,none,2.0,car,27.0,stores,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
143,<0,18.0,existing paid,furniture/equipment,2462.0,<100,1<=X<4,2.0,male single,none,2.0,car,22.0,stores,own,1.0,skilled,1.0,none,yes,bad
144,no checking,21.0,critical/order existing credit,furniture/equipment,2288.0,<100,<1,4.0,female div/dep/mar,none,4.0,life insurance,23.0,stores,own,1.0,skilled,1.0,yes,yes,good
145,0<=X<200,48.0,all paid,business,3566.0,100<=X<500,4<=X<7,4.0,male single,none,2.0,car,30.0,stores,own,1.0,skilled,1.0,none,yes,good
146,<0,6.0,critical/order existing credit,new car,860.0,<100,>=7,1.0,female div/dep/mar,none,4.0,no known property,39.0,stores,own,2.0,skilled,1.0,yes,yes,good
147,no checking,12.0,critical/order existing credit,new car,682.0,100<=X<500,4<=X<7,4.0,female div/dep/mar,none,3.0,car,51.0,stores,own,2.0,skilled,1.0,yes,yes,good
148,<0,36.0,critical/order existing credit,furniture/equipment,5371.0,<100,1<=X<4,3.0,male single,guarantor,2.0,life insurance,28.0,stores,own,2.0,skilled,1.0,none,yes,good
149,no checking,18.0,critical/order existing credit,radio/tv,1582.0,>=1000,>=7,4.0,male single,none,4.0,car,46.0,stores,own,2.0,skilled,1.0,none,yes,good
150,no checking,6.0,existing paid,radio/tv,1346.0,100<=X<500,>=7,2.0,male single,none,4.0,no known property,42.0,bank,for free,1.0,skilled,2.0,yes,yes,good
151,no checking,10.0,existing paid,radio/tv,1924.0,<100,1<=X<4,1.0,male single,none,4.0,life insurance,38.0,stores,own,1.0,skilled,1.0,yes,no,good
152,>=200,36.0,existing paid,radio/tv,5848.0,<100,1<=X<4,4.0,male single,none,1.0,car,24.0,stores,own,1.0,skilled,1.0,none,yes,good
153,0<=X<200,24.0,critical/order existing credit,used car,7758.0,>=1000,>=7,2.0,female div/dep/mar,none,4.0,no known property,29.0,stores,rent,1.0,skilled,1.0,none,yes,good
154,0<=X<200,24.0,delayed previously,business,6967.0,100<=X<500,4<=X<7,4.0,male single,none,4.0,car,36.0,stores,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
155,<0,12.0,existing paid,furniture/equipment,1282.0,<100,1<=X<4,2.0,female div/dep/mar,none,4.0,car,20.0,stores,rent,1.0,skilled,1.0,none,yes,bad
156,<0,9.0,critical/order existing credit,repairs,1288.0,100<=X<500,>=7,3.0,male single,guarantor,4.0,real estate,48.0,stores,own,2.0,skilled,2.0,none,no,good
157,<0,12.0,all paid,retraining,339.0,<100,>=7,4.0,male mar/wid,none,1.0,car,45.0,bank,own,1.0,unskilled resident,1.0,none,yes,good
158,0<=X<200,24.0,existing paid,new car,3512.0,100<=X<500,4<=X<7,2.0,male single,none,3.0,car,38.0,bank,own,2.0,skilled,1.0,yes,yes,good
